datetime,discharge_cms,,,,
1972/06/23,2230,,,,
1972/06/24,2110,,,,
1972/06/25,1950,,,,
1972/06/26,1810,,,,
1972/06/27,1770,,,,
1972/06/28,1850,,,,
1972/06/29,1930,,,,
1972/06/30,2490,,,,
1972/07/01,3110,,,,
1972/07/02,3260,,,,
1972/07/03,2970,,,,
1972/07/04,2620,,,,
1972/07/05,2430,,,,
1972/07/06,2290,,,,
1972/07/07,2040,,,,
1972/07/08,1810,,,,
1972/07/09,1630,,,,
1972/07/10,1530,,,,
1972/07/11,1480,,,,
1972/07/12,1460,,,,
1972/07/13,1470,,,,
1972/07/14,1540,,,,
1972/07/15,1650,,,,
1972/07/16,1650,,,,
1972/07/17,1560,,,,
1972/07/18,1430,,,,
1972/07/19,1330,,,,
1972/07/20,1270,,,,
1972/07/21,1240,,,,
1972/07/22,1210,,,,
1972/07/23,1170,,,,
1972/07/24,1140,,,,
1972/07/25,1110,,,,
1972/07/26,1110,,,,
1972/07/27,1080,,,,
1972/07/28,1030,,,,
1972/07/29,994,,,,
1972/07/30,971,,,,
1972/07/31,1020,,,,
1972/08/01,988,,,,
1972/08/02,1160,,,,
1972/08/03,1150,,,,
1972/08/04,1140,,,,
1972/08/05,1110,,,,
1972/08/06,1080,,,,
1972/08/07,1050,,,,
1972/08/08,1030,,,,
1972/08/09,1000,,,,
1972/08/10,974,,,,
1972/08/11,951,,,,
1972/08/12,934,,,,
1972/08/13,920,,,,
1972/08/14,915,,,,
1972/08/15,946,,,,
1972/08/16,1010,,,,
1972/08/17,1060,,,,
1972/08/18,1070,,,,
1972/08/19,1020,,,,
1972/08/20,954,,,,
1972/08/21,892,,,,
1972/08/22,838,,,,
1972/08/23,801,,,,
1972/08/24,790,,,,
1972/08/25,801,,,,
1972/08/26,776,,,,
1972/08/27,731,,,,
1972/08/28,685,,,,
1972/08/29,660,,,,
1972/08/30,657,,,,
1972/08/31,660,,,,
1972/09/01,640,,,,
1972/09/02,623,,,,
1972/09/03,609,,,,
1972/09/04,600,,,,
1972/09/05,595,,,,
1972/09/06,597,,,,
1972/09/07,623,,,,
1972/09/08,629,,,,
1972/09/09,580,,,,
1972/09/10,538,,,,
1972/09/11,515,,,,
1972/09/12,501,,,,
1972/09/13,501,,,,
1972/09/14,541,,,,
1972/09/15,578,,,,
1972/09/16,569,,,,
1972/09/17,547,,,,
1972/09/18,535,,,,
1972/09/19,532,,,,
1972/09/20,521,,,,
1972/09/21,515,,,,
1972/09/22,504,,,,
1972/09/23,504,,,,
1972/09/24,510,,,,
1972/09/25,515,,,,
1972/09/26,515,,,,
1972/09/27,513,,,,
1972/09/28,515,,,,
1972/09/29,515,,,,
1972/09/30,510,,,,
1972/10/01,507,,,,
1972/10/02,498,,,,
1972/10/03,496,,,,
1972/10/04,484,,,,
1972/10/05,481,,,,
1972/10/06,476,,,,
1972/10/07,481,,,,
1972/10/08,504,,,,
1972/10/09,569,,,,
1972/10/10,646,,,,
1972/10/11,665,,,,
1972/10/12,654,,,,
1972/10/13,629,,,,
1972/10/14,626,,,,
1972/10/15,617,,,,
1972/10/16,654,,,,
1972/10/17,691,,,,
1972/10/18,682,,,,
1972/10/19,637,,,,
1972/10/20,629,,,,
1972/10/21,629,,,,
1972/10/22,603,,,,
1972/10/23,575,,,,
1972/10/24,561,,,,
1972/10/25,555,,,,
1972/10/26,547,,,,
1972/10/27,549,,,,
1972/10/28,552,,,,
1972/10/29,555,,,,
1972/10/30,558,,,,
1972/10/31,558,,,,
1972/11/01,552,,,,
1972/11/02,549,,,,
1972/11/03,547,,,,
1972/11/04,544,,,,
1972/11/05,538,,,,
1972/11/06,527,,,,
1972/11/07,518,,,,
1972/11/08,513,,,,
1972/11/09,496,,,,
1972/11/10,481,,,,
1972/11/11,476,,,,
1972/11/12,453,,,,
1972/11/13,439,,,,
1972/11/14,425,,,,
1972/11/15,411,,,,
1972/11/16,396,,,,
1972/11/17,382,,,,
1972/11/18,368,,,,
1972/11/19,354,,,,
1972/11/20,340,,,,
1972/11/21,326,,,,
1972/11/22,311,,,,
1972/11/23,303,,,,
1972/11/24,292,,,,
1972/11/25,283,,,,
1972/11/26,273,,,,
1972/11/27,264,,,,
1972/11/28,244,,,,
1972/11/29,225,,,,
1972/11/30,206,,,,
1972/12/01,187,,,,
1972/12/02,168,,,,
1972/12/03,149,,,,
1972/12/04,136,,,,
1972/12/05,134,,,,
1972/12/06,144,,,,
1972/12/07,152,,,,
1972/12/08,157,,,,
1972/12/09,161,,,,
1972/12/10,160,,,,
1972/12/11,153,,,,
1972/12/12,155,,,,
1972/12/13,172,,,,
1972/12/14,198,,,,
1972/12/15,210,,,,
1972/12/16,212,,,,
1972/12/17,209,,,,
1972/12/18,206,,,,
1972/12/19,203,,,,
1972/12/20,198,,,,
1972/12/21,200,,,,
1972/12/22,204,,,,
1972/12/23,209,,,,
1972/12/24,219,,,,
1972/12/25,235,,,,
1972/12/26,247,,,,
1972/12/27,255,,,,
1972/12/28,260,,,,
1972/12/29,264,,,,
1972/12/30,268,,,,
1972/12/31,268,,,,
1973/01/01,266,,,,
1973/01/02,272,,,,
1973/01/03,276,,,,
1973/01/04,282,,,,
1973/01/05,286,,,,
1973/01/06,280,,,,
1973/01/07,274,,,,
1973/01/08,266,,,,
1973/01/09,259,,,,
1973/01/10,254,,,,
1973/01/11,250,,,,
1973/01/12,240,,,,
1973/01/13,233,,,,
1973/01/14,229,,,,
1973/01/15,226,,,,
1973/01/16,226,,,,
1973/01/17,225,,,,
1973/01/18,221,,,,
1973/01/19,216,,,,
1973/01/20,212,,,,
1973/01/21,212,,,,
1973/01/22,212,,,,
1973/01/23,211,,,,
1973/01/24,211,,,,
1973/01/25,211,,,,
1973/01/26,212,,,,
1973/01/27,214,,,,
1973/01/28,215,,,,
1973/01/29,216,,,,
1973/01/30,219,,,,
1973/01/31,222,,,,
1973/02/01,222,,,,
1973/02/02,222,,,,
1973/02/03,222,,,,
1973/02/04,222,,,,
1973/02/05,222,,,,
1973/02/06,221,,,,
1973/02/07,219,,,,
1973/02/08,218,,,,
1973/02/09,215,,,,
1973/02/10,212,,,,
1973/02/11,210,,,,
1973/02/12,208,,,,
1973/02/13,208,,,,
1973/02/14,208,,,,
1973/02/15,206,,,,
1973/02/16,202,,,,
1973/02/17,199,,,,
1973/02/18,195,,,,
1973/02/19,191,,,,
1973/02/20,185,,,,
1973/02/21,179,,,,
1973/02/22,177,,,,
1973/02/23,175,,,,
1973/02/24,176,,,,
1973/02/25,175,,,,
1973/02/26,172,,,,
1973/02/27,170,,,,
1973/02/28,170,,,,
1973/03/01,170,,,,
1973/03/02,170,,,,
1973/03/03,172,,,,
1973/03/04,174,,,,
1973/03/05,175,,,,
1973/03/06,176,,,,
1973/03/07,176,,,,
1973/03/08,176,,,,
1973/03/09,176,,,,
1973/03/10,176,,,,
1973/03/11,176,,,,
1973/03/12,177,,,,
1973/03/13,177,,,,
1973/03/14,177,,,,
1973/03/15,178,,,,
1973/03/16,181,,,,
1973/03/17,182,,,,
1973/03/18,183,,,,
1973/03/19,184,,,,
1973/03/20,184,,,,
1973/03/21,184,,,,
1973/03/22,184,,,,
1973/03/23,184,,,,
1973/03/24,184,,,,
1973/03/25,184,,,,
1973/03/26,187,,,,
1973/03/27,189,,,,
1973/03/28,189,,,,
1973/03/29,191,,,,
1973/03/30,194,,,,
1973/03/31,195,,,,
1973/04/01,200,,,,
1973/04/02,207,,,,
1973/04/03,212,,,,
1973/04/04,218,,,,
1973/04/05,226,,,,
1973/04/06,235,,,,
1973/04/07,242,,,,
1973/04/08,254,,,,
1973/04/09,262,,,,
1973/04/10,270,,,,
1973/04/11,283,,,,
1973/04/12,300,,,,
1973/04/13,320,,,,
1973/04/14,351,,,,
1973/04/15,394,,,,
1973/04/16,453,,,,
1973/04/17,498,,,,
1973/04/18,524,,,,
1973/04/19,538,,,,
1973/04/20,597,,,,
1973/04/21,660,,,,
1973/04/22,847,,,,
1973/04/23,1040,,,,
1973/04/24,1050,,,,
1973/04/25,1020,,,,
1973/04/26,1030,,,,
1973/04/27,1030,,,,
1973/04/28,1070,,,,
1973/04/29,1100,,,,
1973/04/30,1110,,,,
1973/05/01,1140,,,,
1973/05/02,1070,,,,
1973/05/03,1040,,,,
1973/05/04,1040,,,,
1973/05/05,1080,,,,
1973/05/06,1080,,,,
1973/05/07,1060,,,,
1973/05/08,1040,,,,
1973/05/09,1040,,,,
1973/05/10,1120,,,,
1973/05/11,1250,,,,
1973/05/12,1340,,,,
1973/05/13,1380,,,,
1973/05/14,1370,,,,
1973/05/15,1350,,,,
1973/05/16,1300,,,,
1973/05/17,1220,,,,
1973/05/18,1150,,,,
1973/05/19,1090,,,,
1973/05/20,1040,,,,
